mpisize,file,filesize,walltime,rate(MB/s)
1,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test74.nc,34359750521,56.3861541748,609.365029835
1,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test1.nc,34359750521,57.0360510349,602.421624526
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test105.nc,34359750521,91.9735507965,373.582951005
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test15.nc,34359750521,94.5356049538,363.458302698
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test67.nc,34359750521,112.743814945,304.759516411
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test72.nc,34359750521,117.764947176,291.765515503
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test179.nc,34359750521,298.050979853,115.281454662
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test81.nc,34359750521,306.201107979,112.21301826
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test217.nc,34359750521,306.321221828,112.169017595
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test32.nc,34359750521,313.817945957,109.489437948
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test1.nc,34359750521,316.15678215,108.679466837
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test119.nc,34359750521,332.332259893,103.389753772
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test14.nc,34359750521,335.378664017,102.450615401
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test50.nc,34359750521,335.569705009,102.392289912
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test159.nc,34359750521,336.631840944,102.069223234
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test161.nc,34359750521,338.044683933,101.642629374
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test37.nc,34359750521,343.421664,100.051202713
