mpisize,file,filesize,walltime,rate(MB/s)
1,http://opendap4gws.jasmin.ac.uk/thredds/atsrrepro/fileServer/testAll/test9.nc,34359750521,903.831818104,38.015646089
4,http://opendap4gws.jasmin.ac.uk/thredds/atsrrepro/fileServer/testAll/test15.nc,34359750521,1157.4623692,29.6854147791
4,http://opendap4gws.jasmin.ac.uk/thredds/atsrrepro/fileServer/testAll/test4.nc,34359750521,1170.99761796,29.342288997
4,http://opendap4gws.jasmin.ac.uk/thredds/atsrrepro/fileServer/testAll/test12.nc,34359750521,1208.65021801,28.4282003255
4,http://opendap4gws.jasmin.ac.uk/thredds/atsrrepro/fileServer/testAll/test41.nc,34359750521,1338.62510419,25.6679412432
1,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test54.nc,34359750521,871.385525942,39.4311696695
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test31.nc,34359750521,1019.86506414,33.6904868389
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test31.nc,34359750521,1019.86910796,33.6903532549
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test39.nc,34359750521,1079.49538207,31.8294557732
4,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test15.nc,34359750521,1088.62780905,31.5624405655
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test63.nc,34359750521,1168.08430099,29.4154715475
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test39.nc,34359750521,1206.36440206,28.4820660013
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test54.nc,34359750521,1212.28993797,28.3428488885
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test49.nc,34359750521,1219.34673619,28.1788186257
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test44.nc,34359750521,1223.72980309,28.0778897714
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test11.nc,34359750521,1226.59390712,28.0123277326
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test51.nc,34359750521,1243.69942212,27.6270535387
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test37.nc,34359750521,1269.84332991,27.0582596386
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test43.nc,34359750521,1289.940099,26.6367023923
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test34.nc,34359750521,1294.30052686,26.5469647953
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test61.nc,34359750521,1299.85152292,26.4335963878
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test56.nc,34359750521,1319.52157187,26.0395519508
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test2.nc,34359750521,1340.39363694,25.6340746285
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test2.nc,34359750521,1340.29015207,25.6360538558
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test32.nc,34359750521,1357.32324505,25.314346193
16,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test18.nc,34359750521,1378.03260708,24.9339169077
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test28.nc,34359750521,1844.97530103,18.6234203254
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test13.nc,34359750521,1908.9200809,17.9995751864
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test64.nc,34359750521,1939.83020401,17.7127618953
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test43.nc,34359750521,1947.28200412,17.6449792317
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test35.nc,34359750521,1949.44634914,17.625389145
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test6.nc,34359750521,1972.50631809,17.4193361034
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test34.nc,34359750521,1975.50061297,17.3929333635
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test31.nc,34359750521,1980.64591098,17.3477502115
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test57.nc,34359750521,1981.25472093,17.3424195072
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test1.nc,34359750521,1981.87710404,17.3369733425
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test37.nc,34359750521,1997.51891804,17.2012140715
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test23.nc,34359750521,2010.31574488,17.0917183575
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test29.nc,34359750521,2010.66943407,17.0887118185
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test62.nc,34359750521,2016.45197105,17.0397068783
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test41.nc,34359750521,2018.53579116,17.0221160663
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/mjones07/test40.nc,34359750521,2040.56199503,16.8383761947
